retrived_at,province_id,city,state,country,pollution_aqi,polution_main,weather_tp,weather_pr,weather_hu,weather_ws,weather_wd
5/2/2023 17:15:27,TH-10,Phra Nakhon,Bangkok,Thailand,82,p2,35,1006,49,6.77,178
5/2/2023 17:15:58,TH-11,Bang Phli,Samut Prakan,Thailand,65,p2,33,1006,66,7.2,200
5/2/2023 17:16:29,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,75,p2,35,1006,58,3.6,230
5/2/2023 17:17:00,TH-13,Khlong Luang,Pathum Thani,Thailand,67,p2,35,1006,74,3.6,230
5/2/2023 17:17:31,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,81,p2,34,1005,44,2,189
5/2/2023 17:18:01,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,78,p2,32,1005,41,4.02,164
5/2/2023 17:18:32,TH-16,Ban Mi,Lop Buri,Thailand,62,p2,32,1005,38,0.98,203
5/2/2023 17:19:03,TH-20,Na Kluea,Chon Buri,Thailand,57,p2,33,1007,64,5.55,189
5/2/2023 17:19:33,TH-21,Ban Khai,Rayong,Thailand,46,p2,33,1007,69,4.33,190
5/2/2023 17:20:04,TH-50,Chiang Mai,Chiang Mai,Thailand,70,p2,32,982,43,5.14,260
5/2/2023 17:20:35,TH-52,Hang Chat,Lampang,Thailand,109,p2,32,1006,50,2.7,192
5/2/2023 18:15:28,TH-10,Phra Nakhon,Bangkok,Thailand,82,p2,34,1006,50,6.05,178
5/2/2023 18:15:59,TH-11,Bang Phli,Samut Prakan,Thailand,55,p2,33,1007,66,5.14,190
5/2/2023 18:16:30,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,75,p2,34,1007,59,4.12,180
5/2/2023 18:17:01,TH-13,Khlong Luang,Pathum Thani,Thailand,68,p2,35,1007,81,4.12,180
5/2/2023 18:17:32,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,123,p2,30,1006,48,1.59,153
5/2/2023 18:18:03,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,78,p2,30,1005,44,4.06,152
5/2/2023 18:18:34,TH-16,Ban Mi,Lop Buri,Thailand,62,p2,31,1005,41,1.94,147
5/2/2023 18:19:05,TH-20,Na Kluea,Chon Buri,Thailand,57,p2,32,1007,68,5.59,183
5/2/2023 18:19:36,TH-21,Ban Khai,Rayong,Thailand,46,p2,31,1008,71,3.55,196
5/2/2023 18:20:07,TH-50,Chiang Mai,Chiang Mai,Thailand,72,p2,32,980,53,4.63,120
5/2/2023 18:20:38,TH-52,Hang Chat,Lampang,Thailand,99,p2,33,1006,55,2.16,208
5/2/2023 19:15:27,TH-10,Phra Nakhon,Bangkok,Thailand,82,p2,32,1007,50,5.73,182
5/2/2023 19:15:58,TH-11,Bang Phli,Samut Prakan,Thailand,49,p2,32,1008,62,3.09,160
5/2/2023 19:16:29,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,55,p2,31,1008,64,5.14,60
